#{"t_start": 1755288679.3845835, "env_id": "None"}
r,l,t
0.277048,3601,16.118561
0.288675,3601,30.934041
0.263918,3601,45.650939
0.25501,3601,60.387626
0.272592,3601,75.126146
0.267969,3601,89.826411
0.239543,3601,104.534644
0.264525,3601,119.258446
0.267548,3601,133.977566
0.264787,3601,148.683351
0.273721,3601,163.378085
0.258715,3601,178.056482
0.267894,3601,192.772424
0.251904,3601,207.490428
0.255527,3601,222.195249
0.286878,3601,236.894892
0.297368,3601,251.607151
0.269158,3601,266.318776
0.259368,3601,281.026649
0.285354,3601,295.746259
0.256987,3601,310.468842
0.253474,3601,325.157442
0.277478,3601,339.894088
0.245923,3601,354.595816
0.278719,3601,369.302597
0.261177,3601,384.006686
0.245105,3601,398.726396
0.242126,3601,413.455096
0.274215,3601,428.142708
0.269004,3601,442.836824
0.266529,3601,457.544577
0.25633,3601,472.251209
0.266129,3601,486.961887
0.266744,3601,501.666228
0.23909,3601,516.365656
0.231664,3601,531.068715
0.253774,3601,545.783168
0.246863,3601,560.50262
0.26368,3601,575.220318
0.258198,3601,589.932513
0.245239,3601,604.806537
0.260378,3601,619.496966
0.252398,3601,634.206184
0.26459,3601,648.911336
0.26265,3601,663.617443
0.263231,3601,678.29728
0.286791,3601,693.026989
0.325871,3601,707.727531
0.264632,3601,722.457349
0.246194,3601,737.177123
0.263868,3601,751.911614
0.269832,3601,766.628558
0.26773,3601,781.337264
0.247399,3601,796.057822
0.266074,3601,810.794306
0.257938,3601,825.493801
0.244043,3601,840.200504
0.259184,3601,854.939072
0.251566,3601,869.648927
0.266283,3601,884.360503
0.285656,3601,899.093359
0.262338,3601,913.810641
0.252004,3601,928.540579
0.291205,3601,943.245581
0.268381,3601,957.955447
0.243945,3601,972.660911
0.263775,3601,987.375555
0.267642,3601,1002.083938
0.258993,3601,1016.83404
0.278833,3601,1031.848948
0.271968,3601,1046.574045
0.253821,3601,1061.267964
0.26896,3601,1075.993491
0.238056,3601,1090.721448
0.256701,3601,1105.436003
0.277641,3601,1120.14589
0.272866,3601,1134.882962
0.250668,3601,1149.594145
0.278343,3601,1164.32065
0.258312,3601,1179.182253
0.272873,3601,1193.875419
0.257892,3601,1208.601957
0.269393,3601,1223.332837
0.251166,3601,1238.053582
0.261079,3601,1252.750254
0.256641,3601,1267.464391
0.260061,3601,1282.210557
0.250693,3601,1296.926452
0.279532,3601,1311.637533
0.273868,3601,1326.336074
0.285536,3601,1341.055779
